10.681,11.331,76.0,E5
15.139,15.395,54.0,F♯3
15.395,16.208,60.0,C4
16.208,16.718,59.0,B3
16.858,18.112,64.0,E4
18.112,18.483,62.0,D4
18.483,18.831,60.0,C4
18.831,19.273,62.0,D4
19.273,20.689,59.0,B3
20.944,21.687,62.0,D4
21.687,22.152,59.0,B3
22.152,22.616,62.0,D4
22.616,22.732,58.0,A♯3
22.732,23.011,60.0,C4
23.011,23.290,59.0,B3
23.290,24.590,57.0,A3
24.729,25.821,57.0,A3
25.937,26.099,53.0,F3
26.099,26.355,55.0,G3
26.355,27.005,53.0,F3
27.191,27.353,53.0,F3
27.353,27.609,55.0,G3
27.609,27.980,57.0,A3
28.259,28.653,56.0,G♯3
28.653,29.025,54.0,F♯3
29.025,29.443,56.0,G♯3
29.443,29.675,57.0,A3
29.675,30.140,59.0,B3
30.348,31.254,60.0,C4
31.254,31.417,59.0,B3
31.486,31.718,60.0,C4
31.718,31.951,61.0,C♯4
31.951,33.088,64.0,E4
33.088,33.994,60.0,C4
33.994,34.273,62.0,D4
34.273,35.619,59.0,B3
35.944,36.432,59.0,B3
36.432,36.641,62.0,D4
36.641,37.129,59.0,B3
37.129,37.570,62.0,D4
37.570,37.965,60.0,C4
37.965,38.336,59.0,B3
38.336,39.381,57.0,A3
39.381,39.544,59.0,B3
39.938,40.890,57.0,A3
40.890,41.076,53.0,F3
41.076,41.401,55.0,G3
41.401,42.075,53.0,F3
42.167,42.748,55.0,G3
42.748,42.980,57.0,A3
43.305,43.746,56.0,G♯3
43.746,44.071,57.0,A3
44.071,44.327,59.0,B3
44.443,44.629,60.0,C4
44.629,44.884,62.0,D4
44.884,45.070,60.0,C4
45.070,45.325,58.0,A♯3
45.325,45.999,60.0,C4
45.999,46.486,59.0,B3
46.974,47.113,62.0,D4
47.113,47.671,64.0,E4
47.671,48.019,62.0,D4
48.019,49.087,60.0,C4
49.087,50.294,62.0,D4
50.736,50.875,60.0,C4
50.875,51.316,62.0,D4
51.316,51.525,58.0,A♯3
51.525,51.804,60.0,C4
51.804,52.709,59.0,B3
52.709,54.846,60.0,C4
55.821,56.007,60.0,C4
56.007,56.262,57.0,A3
56.262,57.028,60.0,C4
57.028,57.794,57.0,A3
58.259,58.770,60.0,C4
58.770,59.188,62.0,D4
59.188,59.559,64.0,E4
59.652,61.904,65.0,F4
61.904,62.160,67.0,G4
62.160,62.880,68.0,G♯4
62.880,63.251,67.0,G4
63.251,63.646,68.0,G♯4
63.808,64.180,60.0,C4
64.180,64.969,72.0,C5
64.969,66.084,67.0,G4
66.084,66.781,64.0,E4
66.781,66.943,60.0,C4
67.082,67.268,60.0,C4
67.268,67.663,59.0,B3
67.779,68.778,71.0,B4
68.778,69.683,67.0,G4
69.683,70.612,64.0,E4
70.612,71.030,60.0,C4
71.030,71.401,54.0,F♯3
71.610,72.493,69.0,A4
72.493,73.491,64.0,E4
73.491,74.350,60.0,C4
74.350,75.140,57.0,A3
75.372,76.254,72.0,C5
76.254,76.696,68.0,G♯4
76.696,77.276,67.0,G4
77.276,78.112,65.0,F4
78.112,78.344,64.0,E4
78.344,78.692,65.0,F4
78.692,78.878,67.0,G4
78.878,79.064,63.0,D♯4
79.064,80.898,64.0,E4
81.618,81.781,63.0,D♯4
81.781,82.292,65.0,F4
82.292,82.570,64.0,E4
82.570,82.779,69.0,A4
82.779,84.846,71.0,B4
85.310,85.798,69.0,A4
85.798,86.750,67.0,G4
86.750,89.234,60.0,C4
90.070,90.256,63.0,D♯4
90.256,91.951,65.0,F4
91.951,92.137,67.0,G4
92.137,93.716,68.0,G♯4
93.716,94.018,55.0,G3
94.018,95.016,60.0,C4
95.016,95.225,59.0,B3
95.225,95.480,60.0,C4
95.480,96.874,64.0,E4
96.874,97.013,62.0,D4
97.013,97.570,60.0,C4
97.570,98.035,62.0,D4
98.035,99.358,59.0,B3
99.637,99.892,62.0,D4
99.892,100.124,59.0,B3
100.124,100.380,62.0,D4
100.380,100.867,59.0,B3
100.867,101.332,62.0,D4
101.332,101.680,60.0,C4
101.680,102.028,59.0,B3
102.028,103.236,57.0,A3
103.700,104.559,57.0,A3
104.559,104.768,53.0,F3
104.768,104.977,55.0,G3
105.117,105.813,53.0,F3
105.813,106.278,55.0,G3
106.278,106.765,57.0,A3
106.951,107.137,53.0,F3
107.137,107.462,56.0,G♯3
107.462,107.717,54.0,F♯3
107.717,108.089,56.0,G♯3
108.089,108.600,57.0,A3
108.600,108.878,59.0,B3
109.041,109.738,60.0,C4
109.738,110.225,59.0,B3
110.225,110.434,60.0,C4
110.434,110.666,61.0,C♯4
110.666,111.874,64.0,E4
111.874,112.129,61.0,C♯4
112.129,112.501,64.0,E4
112.501,112.756,61.0,C♯4
112.756,113.220,62.0,D4
113.220,113.383,66.0,F♯4
113.383,114.892,67.0,G4
114.892,115.148,64.0,E4
115.148,115.403,67.0,G4
115.403,115.844,64.0,E4
115.844,116.448,67.0,G4
116.448,116.773,69.0,A4
116.773,117.005,67.0,G4
117.005,118.282,65.0,F4
118.515,119.583,65.0,F4
119.583,119.861,64.0,E4
119.861,120.953,62.0,D4
120.953,121.208,64.0,E4
121.208,121.974,65.0,F4
121.974,122.439,64.0,E4
122.439,122.671,65.0,F4
122.671,123.066,67.0,G4
123.182,123.298,68.0,G♯4
123.298,123.646,69.0,A4
123.646,123.762,67.0,G4
123.762,124.041,63.0,D♯4
124.041,124.854,65.0,F4
124.854,125.132,61.0,C♯4
125.690,125.852,67.0,G4
125.852,126.479,69.0,A4
126.479,126.758,67.0,G4
126.758,127.826,65.0,F4
127.826,129.126,67.0,G4
129.474,130.334,67.0,G4
130.334,130.635,69.0,A4
130.635,131.123,67.0,G4
131.123,134.165,65.0,F4
134.490,134.676,57.0,A3
134.676,134.815,65.0,F4
134.815,135.001,62.0,D4
135.001,135.535,65.0,F4
135.535,135.953,62.0,D4
136.348,136.580,63.0,D♯4
136.580,137.462,65.0,F4
137.462,137.996,67.0,G4
137.996,138.577,69.0,A4
138.577,140.690,70.0,A♯4
140.690,140.852,71.0,B4
140.852,141.619,73.0,C♯5
141.619,142.571,72.0,C5
142.571,142.756,60.0,C4
142.756,143.732,72.0,C5
143.732,144.660,67.0,G4
144.660,145.543,64.0,E4
145.543,146.077,60.0,C4
146.077,146.402,59.0,B3
146.611,147.540,71.0,B4
147.540,148.422,67.0,G4
148.422,149.374,64.0,E4
149.374,149.745,60.0,C4
149.745,150.117,54.0,F♯3
150.349,151.255,69.0,A4
151.255,152.160,64.0,E4
152.160,153.112,60.0,C4
153.112,154.180,57.0,A3
154.180,154.993,72.0,C5
154.993,155.434,68.0,G♯4
155.434,156.038,67.0,G4
156.038,156.619,65.0,F4
156.619,157.106,64.0,E4
157.106,157.455,65.0,F4
157.455,157.663,67.0,G4
157.663,157.803,63.0,D♯4
157.803,160.171,64.0,E4
160.380,161.077,65.0,F4
161.077,161.402,64.0,E4
161.402,161.611,70.0,A♯4
161.611,163.863,71.0,B4
164.119,164.328,72.0,C5
164.328,164.653,74.0,D5
164.653,165.605,72.0,C5
165.605,168.345,69.0,A4
168.879,169.018,70.0,A♯4
169.018,169.808,72.0,C5
169.808,170.713,69.0,A4
170.713,171.712,68.0,G♯4
171.712,171.874,72.0,C5
171.874,172.246,74.0,D5
172.246,173.174,72.0,C5
173.174,176.170,69.0,A4
176.518,176.820,50.0,D3
177.075,177.470,53.0,F3
177.470,177.795,60.0,C4
180.164,180.373,75.0,D♯5
187.803,188.801,73.0,C♯5
188.801,189.614,68.0,G♯4
189.753,190.613,65.0,F4
190.613,191.170,61.0,C♯4
191.170,191.449,60.0,C4
191.634,192.517,72.0,C5
192.517,193.329,68.0,G♯4
193.492,194.397,65.0,F4
194.397,194.885,60.0,C4
194.885,195.164,54.0,F♯3
195.326,196.278,70.0,A♯4
196.278,197.114,65.0,F4
197.230,198.113,61.0,C♯4
198.113,198.879,58.0,A♯3
199.088,200.017,73.0,C♯5
200.017,200.528,69.0,A4
200.528,200.853,68.0,G♯4
200.853,201.921,66.0,F♯4
201.921,202.130,65.0,F4
202.130,202.710,66.0,F♯4
202.710,202.850,63.0,D♯4
202.850,205.380,65.0,F4
205.380,206.100,66.0,F♯4
206.100,206.379,65.0,F4
206.379,206.588,71.0,B4
206.588,208.469,72.0,C5
208.469,209.142,65.0,F4
209.142,209.281,73.0,C♯5
209.281,209.630,75.0,D♯5
209.630,210.512,73.0,C♯5
210.512,210.837,70.0,A♯4
211.000,211.302,68.0,G♯4
211.302,212.393,65.0,F4
212.393,214.390,70.0,A♯4
214.390,214.970,73.0,C♯5
214.970,215.412,69.0,A4
215.412,215.922,68.0,G♯4
215.922,216.874,66.0,F♯4
216.874,217.037,65.0,F4
217.037,217.478,66.0,F♯4
217.478,217.664,68.0,G♯4
217.664,217.826,64.0,E4
217.826,220.172,65.0,F4
221.379,221.658,71.0,B4
221.658,221.867,72.0,C5
224.096,224.328,73.0,C♯5
224.328,224.676,75.0,D♯5
224.676,225.164,73.0,C♯5
225.164,225.303,75.0,D♯5
225.303,226.116,76.0,E5
226.116,226.441,70.0,A♯4
226.441,227.091,64.0,E4
227.091,228.136,70.0,A♯4
228.879,229.042,70.0,A♯4
229.042,229.831,73.0,C♯5
229.831,230.388,69.0,A4
230.690,231.224,69.0,A4
231.224,231.364,73.0,C♯5
231.364,232.176,75.0,D♯5
232.176,234.243,73.0,C♯5
239.421,239.653,58.0,A♯3
239.653,239.862,56.0,G♯3
245.783,246.108,55.0,G3
256.673,257.625,53.0,F3
257.625,257.811,52.0,E3
258.879,259.924,55.0,G3
259.924,260.040,57.0,A3
266.519,267.238,76.0,E5
268.469,269.328,76.0,E5
270.768,271.952,76.0,E5
